0000000001##31487##Grupa 1#Stkpjmfla, Wfrmpilzg#Fizika 2#1
0000000001##31488##Grupa 1#Stkpjmfla, Wfrmpilzg#Elektronika 1#1
0000000001##31490##Grupa 1#Stkpjmfla, Wfrmpilzg#Upravljanje kakvoćom#1
0000000001##31491##Grupa 1#Stkpjmfla, Wfrmpilzg#Laboratorij i vještine - Matlab#1
0000000001##31492##Grupa 1#Stkpjmfla, Wfrmpilzg#Tjelesna i zdravstvena kultura 3#1
0000000001##31500##Grupa 1#Stkpjmfla, Wfrmpilzg#Matematika 3R#1
0000000001##31501##Grupa 1#Stkpjmfla, Wfrmpilzg#Operacijski sustavi#1
0000000002##19670##Grupa 1#Lveqeq, Rulwdmxq#Matematika 1#1
0000000002##19671##Grupa 1#Lveqeq, Rulwdmxq#Laboratorij i vještine - Mathematica#1
0000000002##19672##Grupa 1#Lveqeq, Rulwdmxq#Osnove elektrotehnike#1
0000000002##19674##Grupa 1#Lveqeq, Rulwdmxq#Digitalna logika#1
0000000002##19676##Grupa 1#Lveqeq, Rulwdmxq#Programiranje i programsko inženjerstvo#1
0000000002##19678##Grupa 1#Lveqeq, Rulwdmxq#Vještine komuniciranja#1
0000000003##31491##Grupa 2#Xjuhy, Uuraoacd#Laboratorij i vještine - Matlab#3
0000000003##34272##Grupa 1#Xjuhy, Uuraoacd#Komunikacijske mreže#3
0000000003##34275##Grupa 1#Xjuhy, Uuraoacd#Okoliš i održivi razvoj#3
0000000003##34315##Grupa 1#Xjuhy, Uuraoacd#Teorija informacije#3
0000000004##34315##Grupa 2#Xnewpf, Pfgceigl#Teorija informacije#3
0000000005##34395##Grupa 1#Kebdqoyrn, Jtzww#Napredni algoritmi i strukture podataka#1
0000000005##34404##Grupa 1#Kebdqoyrn, Jtzww#Raspoznavanje uzoraka#1
0000000005##34456##Grupa 1#Kebdqoyrn, Jtzww#Raspodijeljeni sustavi#1
0000000005##34556##Grupa 1#Kebdqoyrn, Jtzww#Diskretna matematika#1
0000000005##35224##Grupa 1#Kebdqoyrn, Jtzww#Laboratorij računarske znanosti 1#1
0000000005##46419##Grupa 1#Kebdqoyrn, Jtzww#Organizacijska psihologija#1
0000000005##57394##Grupa 1#Kebdqoyrn, Jtzww#Strojno učenje#1
0000000006##19671##Grupa 1#Vnmtgttxn, Zstrmf#Laboratorij i vještine - Mathematica#1
0000000006##19674##Grupa 2#Vnmtgttxn, Zstrmf#Digitalna logika#1
0000000006##19678##Grupa 2#Vnmtgttxn, Zstrmf#Vještine komuniciranja#1
0000000006##21013##Grupa 1#Vnmtgttxn, Zstrmf#Tjelesna i zdravstvena kultura 1#1
0000000006##31488##Grupa 2#Vnmtgttxn, Zstrmf#Elektronika 1#1
0000000006##31489##Grupa 1#Vnmtgttxn, Zstrmf#Električni krugovi#1
0000000006##31490##Grupa 2#Vnmtgttxn, Zstrmf#Upravljanje kakvoćom#1
0000000006##31491##Grupa 3#Vnmtgttxn, Zstrmf#Laboratorij i vještine - Matlab#1
0000000006##34275##Grupa 2#Vnmtgttxn, Zstrmf#Okoliš i održivi razvoj#1
0000000007##31491##Grupa 2#Fmjdc, Ayqngib#Laboratorij i vještine - Matlab#3
0000000007##34303##Grupa 1#Fmjdc, Ayqngib#Elektroakustika#3
0000000007##34313##Grupa 1#Fmjdc, Ayqngib#Automatsko upravljanje#3
0000000007##34314##Grupa 1#Fmjdc, Ayqngib#Komunikacijski sustavi#3
0000000007##34548##Grupa 1#Fmjdc, Ayqngib#Audiosustavi#1
0000000007##34561##Grupa 1#Fmjdc, Ayqngib#Uvod u matematičku teoriju kaosa za inženjere#1
0000000007##35234##Grupa 1#Fmjdc, Ayqngib#Laboratorij elektronike 1#1
0000000007##46419##Grupa 2#Fmjdc, Ayqngib#Organizacijska psihologija#1
0000000008##34315##Grupa 1#Ssycpyv, Sqzqgv#Teorija informacije#3
0000000008##34454##Grupa 1#Ssycpyv, Sqzqgv#Objektno oblikovanje#1
0000000008##34456##Grupa 2#Ssycpyv, Sqzqgv#Raspodijeljeni sustavi#1
0000000008##34527##Grupa 1#Ssycpyv, Sqzqgv#Računarstvo zasnovano na uslugama#1
0000000008##34539##Grupa 1#Ssycpyv, Sqzqgv#Napredni modeli i baze podataka#1
0000000008##34556##Grupa 2#Ssycpyv, Sqzqgv#Diskretna matematika#1
0000000008##35238##Grupa 1#Ssycpyv, Sqzqgv#Laboratorij programskog inženjerstva i informacijskih sustava 1#1
0000000008##37541##Grupa 1#Ssycpyv, Sqzqgv#Projekt iz programske potpore#3
0000000008##46420##Grupa 1#Ssycpyv, Sqzqgv#Poduzetništvo i izvoz u visokim tehnologijama#1
0000000009##31489##Grupa 2#Rwtaujybb, Ywdjnu#Električni krugovi#3
0000000009##34300##Grupa 1#Rwtaujybb, Ywdjnu#Električna postrojenja#3
0000000009##34318##Grupa 1#Rwtaujybb, Ywdjnu#Elektromehaničke i električne pretvorbe#3
0000000010##34435##Grupa 1#Yvmseruz, Vvzfxihw#Energijske pretvorbe#1
0000000010##34437##Grupa 1#Yvmseruz, Vvzfxihw#Dinamika i regulacija elektroenergetskog sustava#1
0000000010##34438##Grupa 1#Yvmseruz, Vvzfxihw#Analiza elektroenergetskog sustava#1
0000000010##34443##Grupa 1#Yvmseruz, Vvzfxihw#Elektroenergetske mreže#1
0000000010##34499##Grupa 1#Yvmseruz, Vvzfxihw#Zaštita elektroenergetskog sustava#1
0000000010##35230##Grupa 1#Yvmseruz, Vvzfxihw#Laboratorij elektroenergetike 1#1
0000000010##46404##Grupa 1#Yvmseruz, Vvzfxihw#Diplomski projekt#1
0000000010##46419##Grupa 3#Yvmseruz, Vvzfxihw#Organizacijska psihologija#1
0000000011##34303##Grupa 2#Tfurnpacm, Zhtdzfb#Elektroakustika#3
0000000012##31486##Grupa 1#Volgofke, Lbxurbz#Matematika 3E#2
0000000012##31487##Grupa 2#Volgofke, Lbxurbz#Fizika 2#2
0000000012##31488##Grupa 3#Volgofke, Lbxurbz#Elektronika 1#2
0000000012##31489##Grupa 3#Volgofke, Lbxurbz#Električni krugovi#2
0000000012##31492##Grupa 1#Volgofke, Lbxurbz#Tjelesna i zdravstvena kultura 3#2
0000000013##31487##Grupa 2#Qxovpqpdv, Ziwxmbwf#Fizika 2#2
0000000013##31492##Grupa 1#Qxovpqpdv, Ziwxmbwf#Tjelesna i zdravstvena kultura 3#2
0000000013##34300##Grupa 2#Qxovpqpdv, Ziwxmbwf#Električna postrojenja#2
0000000013##34318##Grupa 2#Qxovpqpdv, Ziwxmbwf#Elektromehaničke i električne pretvorbe#2
0000000013##37831##Grupa 1#Qxovpqpdv, Ziwxmbwf#Projekt#2
0000000014##34300##Grupa 1#Lfsld, Qsedszmsz#Električna postrojenja#3
0000000014##34313##Grupa 2#Lfsld, Qsedszmsz#Automatsko upravljanje#3
0000000014##34314##Grupa 2#Lfsld, Qsedszmsz#Komunikacijski sustavi#3
0000000014##34315##Grupa 3#Lfsld, Qsedszmsz#Teorija informacije#3
0000000014##37831##Grupa 1#Lfsld, Qsedszmsz#Projekt#3
0000000015##34395##Grupa 2#Omqxuu, Qzkgmzkbw#Napredni algoritmi i strukture podataka#1
0000000015##34450##Grupa 1#Omqxuu, Qzkgmzkbw#Sigurnost u Internetu#1
0000000015##34456##Grupa 2#Omqxuu, Qzkgmzkbw#Raspodijeljeni sustavi#1
0000000015##34539##Grupa 1#Omqxuu, Qzkgmzkbw#Napredni modeli i baze podataka#1
0000000015##34561##Grupa 2#Omqxuu, Qzkgmzkbw#Uvod u matematičku teoriju kaosa za inženjere#1
0000000015##35238##Grupa 1#Omqxuu, Qzkgmzkbw#Laboratorij programskog inženjerstva i informacijskih sustava 1#1
0000000015##46419##Grupa 4#Omqxuu, Qzkgmzkbw#Organizacijska psihologija#1
0000000016##19674##Grupa 1#Gshsjjpv, Xdpgcrvm#Digitalna logika#1
0000000016##31486##Grupa 2#Gshsjjpv, Xdpgcrvm#Matematika 3E#1
0000000016##31488##Grupa 4#Gshsjjpv, Xdpgcrvm#Elektronika 1#1
0000000016##31489##Grupa 4#Gshsjjpv, Xdpgcrvm#Električni krugovi#1
0000000016##31491##Grupa 2#Gshsjjpv, Xdpgcrvm#Laboratorij i vještine - Matlab#1
0000000016##31492##Grupa 1#Gshsjjpv, Xdpgcrvm#Tjelesna i zdravstvena kultura 3#1
0000000016##34275##Grupa 3#Gshsjjpv, Xdpgcrvm#Okoliš i održivi razvoj#1
0000000017##19674##Grupa 1#Mochjumws, Jtimhp#Digitalna logika#2
0000000017##31489##Grupa 4#Mochjumws, Jtimhp#Električni krugovi#2
0000000017##31491##Grupa 4#Mochjumws, Jtimhp#Laboratorij i vještine - Matlab#2
0000000017##31492##Grupa 1#Mochjumws, Jtimhp#Tjelesna i zdravstvena kultura 3#2
0000000017##34275##Grupa 4#Mochjumws, Jtimhp#Okoliš i održivi razvoj#2
0000000017##34318##Grupa 2#Mochjumws, Jtimhp#Elektromehaničke i električne pretvorbe#2
0000000018##19670##Grupa 2#Xtvqlxx, Gnhgow#Matematika 1#1
0000000018##19671##Grupa 1#Xtvqlxx, Gnhgow#Laboratorij i vještine - Mathematica#1
0000000018##19672##Grupa 2#Xtvqlxx, Gnhgow#Osnove elektrotehnike#1
0000000018##19674##Grupa 3#Xtvqlxx, Gnhgow#Digitalna logika#1
0000000018##19676##Grupa 2#Xtvqlxx, Gnhgow#Programiranje i programsko inženjerstvo#1
0000000018##19678##Grupa 3#Xtvqlxx, Gnhgow#Vještine komuniciranja#1
0000000018##21013##Grupa 1#Xtvqlxx, Gnhgow#Tjelesna i zdravstvena kultura 1#1
0000000019##31486##Grupa 3#Sperk, Bhszqin#Matematika 3E#2
0000000019##31488##Grupa 1#Sperk, Bhszqin#Elektronika 1#2
0000000019##31489##Grupa 4#Sperk, Bhszqin#Električni krugovi#2
0000000019##34300##Grupa 2#Sperk, Bhszqin#Električna postrojenja#2
0000000019##34318##Grupa 2#Sperk, Bhszqin#Elektromehaničke i električne pretvorbe#2
0000000020##19674##Grupa 4#Fzwscqn, Aotwxpzx#Digitalna logika#3
0000000020##31491##Grupa 2#Fzwscqn, Aotwxpzx#Laboratorij i vještine - Matlab#3
0000000020##31501##Grupa 1#Fzwscqn, Aotwxpzx#Operacijski sustavi#3
0000000020##34277##Grupa 1#Fzwscqn, Aotwxpzx#Arhitektura računala 2#3
0000000021##34397##Grupa 1#Dgwltrgcj, Fqestpk#Digitalna obradba signala#1
0000000021##34410##Grupa 1#Dgwltrgcj, Fqestpk#Videokomunikacijske tehnologije#1
0000000021##34468##Grupa 1#Dgwltrgcj, Fqestpk#Planiranje mobilnih sustava#1
0000000021##34480##Grupa 1#Dgwltrgcj, Fqestpk#Optički komunikacijski sustavi#1
0000000021##34552##Grupa 1#Dgwltrgcj, Fqestpk#Kompleksna analiza#1
0000000021##35242##Grupa 1#Dgwltrgcj, Fqestpk#Laboratorij radiokomunikacijskih tehnologija 1#1
0000000021##37834##Grupa 1#Dgwltrgcj, Fqestpk#Projekt#3
0000000021##46419##Grupa 1#Dgwltrgcj, Fqestpk#Organizacijska psihologija#1
0000000022##19671##Grupa 1#Tbpmp, Bsvfj#Laboratorij i vještine - Mathematica#1
0000000022##19672##Grupa 3#Tbpmp, Bsvfj#Osnove elektrotehnike#1
0000000022##19674##Grupa 1#Tbpmp, Bsvfj#Digitalna logika#1
0000000022##19676##Grupa 3#Tbpmp, Bsvfj#Programiranje i programsko inženjerstvo#1
0000000022##31490##Grupa 3#Tbpmp, Bsvfj#Upravljanje kakvoćom#1
0000000022##31491##Grupa 5#Tbpmp, Bsvfj#Laboratorij i vještine - Matlab#1
0000000022##31500##Grupa 2#Tbpmp, Bsvfj#Matematika 3R#1
0000000022##34275##Grupa 5#Tbpmp, Bsvfj#Okoliš i održivi razvoj#1
0000000023##31486##Grupa 1#Smwuy, Dbqacosp#Matematika 3E#3
0000000023##31489##Grupa 2#Smwuy, Dbqacosp#Električni krugovi#3
0000000023##34300##Grupa 1#Smwuy, Dbqacosp#Električna postrojenja#3
0000000023##34318##Grupa 1#Smwuy, Dbqacosp#Elektromehaničke i električne pretvorbe#3
