9379507189##21006##1.01#Yucowvf, Qatdtbsq#Fizika 1#1
8928399484##31493##2.R1#Jpjupor, Rapsrxeteu#Vjerojatnost i statistika#2
8928399484##31502##2.R1#Jpjupor, Rapsrxeteu#Uvod u teoriju računarstva#2
3510193871##31493##2.R2#Aidnf, Rokclwhvytk#Vjerojatnost i statistika#2
3510193871##31494##2.R2#Aidnf, Rokclwhvytk#Signali i sustavi#2
3510193871##34354##3.PI1#Aidnf, Rokclwhvytk#Skriptni jezici#2
5284432648##21010##1.AR#Dckejv, Dedqrdx#Arhitektura računala 1#3
5284432648##21012##1.08#Dckejv, Dedqrdx#Menadžment u inženjerstvu#3
5284432648##34294##3.ELE2#Dckejv, Dedqrdx#Trgovačko pravo#3
5399062169##31493##2.R3#Ovdycxx, Bafyja#Vjerojatnost i statistika#2
5399062169##31494##2.R3#Ovdycxx, Bafyja#Signali i sustavi#2
5399062169##31502##2.R3#Ovdycxx, Bafyja#Uvod u teoriju računarstva#2
6643831109##31494##2.R2#Igsdu, Culsvxud#Signali i sustavi#2
6643831109##31503##2.R2#Igsdu, Culsvxud#Baze podataka#2
2095001067##31495##2.E1#Kqgd, Bxtmyelcn#Energijske tehnologije#2
2095001067##34294##3.ERI2#Kqgd, Bxtmyelcn#Trgovačko pravo#2
2095001067##34352##3.ERI2#Kqgd, Bxtmyelcn#Računalom podržano projektiranje elektroničkih uređaja#2
2095001067##34360##3.ELE2#Kqgd, Bxtmyelcn#Zvuk i okoliš#2
5323109979##21010##1.02#Pmbk, Tgwffkdh#Arhitektura računala 1#2
5323109979##34350##3.EE2#Pmbk, Tgwffkdh#Projektiranje električnih postrojenja#2
5323109979##35245##3.EE2#Pmbk, Tgwffkdh#Niskonaponske mreže i instalacije#2
8938119452##31493##2.E4#Qdllv, Thyyphj#Vjerojatnost i statistika#2
8938119452##31494##2.E4#Qdllv, Thyyphj#Signali i sustavi#2
8938119452##31496##2.E4#Qdllv, Thyyphj#Elektromagnetska polja#2
4610460460##31493##2.E4#Asbcmwk, Ounebii#Vjerojatnost i statistika#1
4610460460##34294##3.ELE2#Asbcmwk, Ounebii#Trgovačko pravo#1
4635404347##21010##1.08#Nlmisle, Lcpobhpceq#Arhitektura računala 1#1
4635404347##41251##2.E3#Nlmisle, Lcpobhpceq#Inženjerska ekonomika#1
4965846158##31493##2.R2#Yxykr, Pcdvhqmj#Vjerojatnost i statistika#3
4965846158##34282##3.RZ1#Yxykr, Pcdvhqmj#Programske paradigme i jezici#3
4965846158##34354##3.RZ1#Yxykr, Pcdvhqmj#Skriptni jezici#3
2234161707##31493##2.E3#Aiwki, Qcnbrmbif#Vjerojatnost i statistika#2
2234161707##34294##3.ELE2#Aiwki, Qcnbrmbif#Trgovačko pravo#2
2234161707##34302##3.EE1#Aiwki, Qcnbrmbif#Prijenos i razdjela električne energije#2
9562794527##31493##2.E1#Ubkcb, Gljaloqme#Vjerojatnost i statistika#2
1190517715##21008##1.08#Jssgdwv, Jdqoggp#Algoritmi i strukture podataka#2
1190517715##31493##2.E3#Jssgdwv, Jdqoggp#Vjerojatnost i statistika#2
1190517715##31496##2.E3#Jssgdwv, Jdqoggp#Elektromagnetska polja#2
1190517715##41251##2.E3#Jssgdwv, Jdqoggp#Inženjerska ekonomika#2
3225842732##21010###Srncg, Gnmbcfnrwc#Arhitektura računala 1#2
3225842732##31495###Srncg, Gnmbcfnrwc#Energijske tehnologije#2
4631734754##31493##2.R1#Dklpicee, Lemiuomb#Vjerojatnost i statistika#3
4631734754##31494##2.R1#Dklpicee, Lemiuomb#Signali i sustavi#3
4631734754##34294##3.PI1#Dklpicee, Lemiuomb#Trgovačko pravo#3
8020184228##21008##1.02#Oadbxuuk, Ynwkggsphx#Algoritmi i strukture podataka#2
7413639725##31494##2.E3#Rqxmtq, Qaynmibo#Signali i sustavi#2
7413639725##31496##2.E3#Rqxmtq, Qaynmibo#Elektromagnetska polja#2
7413639725##34294##3.ELE2#Rqxmtq, Qaynmibo#Trgovačko pravo#2
7413639725##34308##3.ELE2#Rqxmtq, Qaynmibo#Konstrukcija elektroničkih uređaja#2
6487005417##21008##1.02#Tclrj, Kevdteo#Algoritmi i strukture podataka#2
6145313345##21012##1.08#Hrhnrce, Rosqakfkcx#Menadžment u inženjerstvu#2
6145313345##31493##2.E3#Hrhnrce, Rosqakfkcx#Vjerojatnost i statistika#2
1372127754##34294##3.ELE2#Nslau, Disss#Trgovačko pravo#2
1372127754##34346##3.AUT2#Nslau, Disss#Praktikum robotike#2
5043184228##21008##1.08#Lkmps, Umgvwlma#Algoritmi i strukture podataka#2
5043184228##21010##1.08#Lkmps, Umgvwlma#Arhitektura računala 1#2
5043184228##31493##2.E3#Lkmps, Umgvwlma#Vjerojatnost i statistika#2
5043184228##31495##2.E3#Lkmps, Umgvwlma#Energijske tehnologije#2
5043184228##31496##2.E3#Lkmps, Umgvwlma#Elektromagnetska polja#2
3297670486##34294##3.OiMT1#Wtja, Bagpiu#Trgovačko pravo#2
3297670486##41251##2.R3#Wtja, Bagpiu#Inženjerska ekonomika#2
2519998195##31493##2.E3#Xndvwro, Ccyby#Vjerojatnost i statistika#2
2519998195##31495##2.E3#Xndvwro, Ccyby#Energijske tehnologije#2
2519998195##31496##2.E3#Xndvwro, Ccyby#Elektromagnetska polja#2
2519998195##34307##3.ERI2#Xndvwro, Ccyby#Osnove elektroničkih mjerenja i instrumentacije#2
2519998195##34319###Xndvwro, Ccyby#Ugradbeni računalni sustavi#2
2449834303##31494##2.E3#Gidm, Mbiwysu#Signali i sustavi#2
2449834303##34294##3.ELE2#Gidm, Mbiwysu#Trgovačko pravo#2
1792482092##21008##1.08#Qjxvqg, Lyuebnjoqg#Algoritmi i strukture podataka#3
1792482092##34294##3.EE2#Qjxvqg, Lyuebnjoqg#Trgovačko pravo#3
4412107087##31493##2.R2#Dnmdifdd, Bdyfdxf#Vjerojatnost i statistika#2
4412107087##34286##3.RI1#Dnmdifdd, Bdyfdxf#Otvoreno računarstvo#2
3594201679##21008##1.02#Svciyffn, Mybqxsk#Algoritmi i strukture podataka#3
3594201679##34312##3.RK2#Svciyffn, Mybqxsk#Mobilne komunikacije#3
0629859645##21012##1.07#Kyklwx, Dbsov#Menadžment u inženjerstvu#1
0629859645##31493##2.R4#Kyklwx, Dbsov#Vjerojatnost i statistika#1
0629859645##31502##2.R4#Kyklwx, Dbsov#Uvod u teoriju računarstva#1
9482598800##21008##1.03#Ctctdh, Nejutfv#Algoritmi i strukture podataka#1
9482598800##31493##2.E2#Ctctdh, Nejutfv#Vjerojatnost i statistika#1
9482598800##31495##2.E5#Ctctdh, Nejutfv#Energijske tehnologije#1
9482598800##34294##3.ELE2#Ctctdh, Nejutfv#Trgovačko pravo#1
8037703055##31502###Blfhg, Cghxxb#Uvod u teoriju računarstva#3
1875602538##31496##2.E5#Wktkrt, Kmyfuv#Elektromagnetska polja#2
1875602538##34294##3.ERI2#Wktkrt, Kmyfuv#Trgovačko pravo#2
1875602538##34356##3.RK2#Wktkrt, Kmyfuv#Tehnologija optičkih komunikacija#2
7626485144##41251###Onesmll, Wlbruxcyymc#Inženjerska ekonomika#3
5845660739##31494##2.R2#Qeqg, Hrnuuk#Signali i sustavi#3
